symbol,tradeDate,exchange,quantity,price,executionTime,strikePrice,expiryDate,optionsType,tradeType,assetType,id,tradeId
PIDILITIND,2022-05-04,NSE,45,2413.0,09:07:04,,,,buy,cash,f272b9c7656fc4aa47a5bdd863dbc257,9cfaa805b22e12bd271a7ad15d5647f4
PIDILITIND,2022-05-04,NSE,45,2395.355555555556,09:16:24,,,,sell,cash,384a7c9aa457d6b551d0e21f45c5bb30,9cfaa805b22e12bd271a7ad15d5647f4
SRF,2022-05-04,NSE,50,2504.8,09:16:33,,,,buy,cash,b1d3e5056f583d9bfef4190b27f45ef9,dff6d7420107f0aeb08d2d201ea58da0
SRF,2022-05-04,NSE,50,2500.0,09:19:28,,,,sell,cash,ace0951bc25047ef516f26a0f178a1b2,dff6d7420107f0aeb08d2d201ea58da0
IPCALAB,2022-05-04,NSE,100,1024.4,09:23:49,,,,sell,cash,3a0a4e2733ec65580f740fef136689fa,f677dd74bfae7293ce57b8288f2390c1
IPCALAB,2022-05-04,NSE,100,1028.3,09:27:49,,,,buy,cash,f95b4c852e5c3c34d61826ad1eaef974,f677dd74bfae7293ce57b8288f2390c1
PETRONET,2022-05-05,NSE,1000,216.75,09:25:21,,,,sell,cash,fb8dbfdd68b043a6fd3db9efeb42d834,0252f1fd92065a17e86d68bcf265d2b2
PETRONET,2022-05-05,NSE,1000,218.9,10:46:03,,,,buy,cash,702b7851bc6167d3616824b74cfbbf95,0252f1fd92065a17e86d68bcf265d2b2
ABB,2022-05-10,NSE,88,2306.0,09:15:34,,,,sell,cash,a00f646ed71b25cb0e22f5f165002fcd,72ee3728259927bb34ef688f728b1c33
ABB,2022-05-10,NSE,88,2224.697727272727,09:18:51,,,,buy,cash,d83c8b94c817528721244746d7ae6d68,72ee3728259927bb34ef688f728b1c33
GNFC,2022-05-11,NSE,190,838.0,09:07:45,,,,sell,cash,0dc39a34167a4b34ff71bae117c7ad72,1ec1aa4593ff464c31762afcb58475c9
GNFC,2022-05-11,NSE,190,737.0,12:06:15,,,,buy,cash,b92953a30c8a1d19d76dbc80126acef7,1ec1aa4593ff464c31762afcb58475c9
COROMANDEL,2022-05-12,NSE,380,901.25,09:07:36,,,,sell,cash,00c76e200db7c49aeb46a55978ee8cd8,8a60d4b82f3c61625c5e092fa548de06
COROMANDEL,2022-05-12,NSE,380,883.5,10:08:45,,,,buy,cash,5db6ae9923c6b950fd607aeff0c3f875,8a60d4b82f3c61625c5e092fa548de06
SUNPHARMA,2022-05-16,NSE,230,882.5,09:18:35,,,,sell,cash,4e952e96a48678c6fe5616aa3a41eeea,07d33cb4e84b2d14a74a2fb32fd1a61d
SUNPHARMA,2022-05-16,NSE,230,891.7989130434781,09:41:56,,,,buy,cash,1ad27f22c82da2c0c0b65f52e09f4538,07d33cb4e84b2d14a74a2fb32fd1a61d
SUNPHARMA,2022-05-16,NSE,100,887.4685000000001,09:47:49,,,,sell,cash,c8a2c00581646db6e38d57b88e61d1f3,1776bc2546bdd50156b784a00adffec5
SUNPHARMA,2022-05-16,NSE,100,893.8,10:21:58,,,,buy,cash,2125629f5fdf91415c95e0f7b0df51bc,1776bc2546bdd50156b784a00adffec5
HONAUT,2022-05-17,NSE,10,32500.0,09:07:30,,,,sell,cash,655ddd44d049f909327ed3be909888be,ec44700c2357a7b40d465abc0f8fc4af
OFSS,2022-05-17,NSE,30,3160.5,09:29:26,,,,buy,cash,40e9b292084c7b2aa2fc832981a0825a,fd692641e3d9afbb68df6afefb654334
OFSS,2022-05-17,NSE,30,3148.3,09:36:27,,,,sell,cash,12e3d7e18fb016275c84dd00a561ee98,fd692641e3d9afbb68df6afefb654334
HONAUT,2022-05-17,NSE,1,32211.0,12:16:37,,,,buy,cash,0e8a7ee6cd6502cc6865aeb9d479d163,ec44700c2357a7b40d465abc0f8fc4af
