symbol,exchange,quantity,strikePrice,expiryDate,optionsType,tradeType,assetType,id,entryPrice,entryDate,entryTime,exitPrice,exitDate,exitTime,breakeven,avgBuyPrice,avgSellPrice,isOpen,stoploss,target,note,setup,tradeId
PIDILITIND,NSE,45,,,,buy,cash,9cfaa805b22e12bd271a7ad15d5647f4,2413.0,2022-05-04,09:07:04,2395.36,2022-05-04,09:16:24,2,2413.0,2395.36,0,0,0,,,
PIDILITIND,NSE,115,,,,sell,cash,5c8798b1a7deedbe7f949e7e6b945209,2627.2,2022-08-05,09:31:30,2602.55,2022-08-05,10:33:41,2,2602.55,2627.2,0,0,0,,,
SRF,NSE,50,,,,buy,cash,dff6d7420107f0aeb08d2d201ea58da0,2504.8,2022-05-04,09:16:33,2500.0,2022-05-04,09:19:28,2,2504.8,2500.0,0,0,0,,,
SRF,NSE,13,,,,sell,cash,1429416d3a4e7d6ffc0cb41646ad91fd,2539.91,2022-08-30,12:53:36,2538.0,2022-08-30,12:59:20,4,2538.0,2539.91,0,0,0,,,
SRF,NSE,5,,,,sell,cash,d277459cff13cf7a6a194095bc924bd8,2840.52,2022-09-13,11:44:15,2820.6,2022-09-13,15:20:55,4,2820.6,2840.52,0,0,0,,,
IPCALAB,NSE,100,,,,sell,cash,f677dd74bfae7293ce57b8288f2390c1,1024.4,2022-05-04,09:23:49,1028.3,2022-05-04,09:27:49,2,1028.3,1024.4,0,0,0,,,
IPCALAB,NSE,267,,,,buy,cash,9e58c70710f105b483ff0f5a92da9263,919.97,2022-08-12,09:41:47,928.7,2022-08-12,09:45:51,2,919.97,928.7,0,0,0,,,
IPCALAB,NSE,80,,,,sell,cash,1b73e6d7a91cbdf325c9ba68b6875123,903.9,2022-08-22,09:31:36,911.9,2022-08-22,09:57:25,2,911.9,903.9,0,0,0,,,
IPCALAB,NSE,170,,,,sell,cash,b88875dac386d170f2015255bdf68086,924.65,2022-11-02,09:07:38,928.8,2022-11-02,09:18:33,2,928.8,924.65,0,0,0,,,
PETRONET,NSE,1000,,,,sell,cash,0252f1fd92065a17e86d68bcf265d2b2,216.75,2022-05-05,09:25:21,218.9,2022-05-05,10:46:03,2,218.9,216.75,0,0,0,,,
ABB,NSE,88,,,,sell,cash,72ee3728259927bb34ef688f728b1c33,2306.0,2022-05-10,09:15:34,2224.7,2022-05-10,09:18:51,2,2224.7,2306.0,0,0,0,,,
GNFC,NSE,190,,,,sell,cash,1ec1aa4593ff464c31762afcb58475c9,838.0,2022-05-11,09:07:45,737.0,2022-05-11,12:06:15,2,737.0,838.0,0,0,0,,,
COROMANDEL,NSE,380,,,,sell,cash,8a60d4b82f3c61625c5e092fa548de06,901.25,2022-05-12,09:07:36,883.5,2022-05-12,10:08:45,2,883.5,901.25,0,0,0,,,
COROMANDEL,NSE,450,,,,sell,cash,43a372176c0457475fac2ba54b863626,951.66,2022-05-18,09:19:29,942.61,2022-05-18,10:18:10,5,942.61,951.66,0,0,0,,,
COROMANDEL,NSE,330,,,,sell,cash,9568ebaf86141807750b94aead14ba0f,979.0,2022-05-25,09:07:35,963.2,2022-05-25,09:36:40,2,963.2,979.0,0,0,0,,,
COROMANDEL,NSE,50,,,,buy,cash,023e6757e49558262fa422086c673be9,1016.97,2022-08-25,10:28:16,1021.63,2022-08-25,10:52:15,3,1016.97,1021.63,0,0,0,,,
SUNPHARMA,NSE,230,,,,sell,cash,07d33cb4e84b2d14a74a2fb32fd1a61d,882.5,2022-05-16,09:18:35,891.8,2022-05-16,09:41:56,2,891.8,882.5,0,0,0,,,
SUNPHARMA,NSE,100,,,,sell,cash,1776bc2546bdd50156b784a00adffec5,887.47,2022-05-16,09:47:49,893.8,2022-05-16,10:21:58,2,893.8,887.47,0,0,0,,,
HONAUT,NSE,10,,,,sell,cash,ec44700c2357a7b40d465abc0f8fc4af,32500.0,2022-05-17,09:07:30,32160.6,2022-05-17,13:12:51,3,32160.6,32500.0,0,0,0,,,
HONAUT,NSE,2,,,,sell,cash,c21e7a64b36e9326c2eaa39232c198a9,43531.95,2022-08-18,09:07:40,43827.0,2022-08-18,09:20:00,2,43827.0,43531.95,0,0,0,,,
OFSS,NSE,30,,,,buy,cash,fd692641e3d9afbb68df6afefb654334,3160.5,2022-05-17,09:29:26,3148.3,2022-05-17,09:36:27,2,3160.5,3148.3,0,0,0,,,
PIIND,NSE,160,,,,sell,cash,0e164ea1a5cc22dfba447e3f09d0f069,2614.49,2022-05-19,09:35:26,2635.5,2022-05-19,09:51:15,4,2635.5,2614.49,0,0,0,,,
PIIND,NSE,72,,,,sell,cash,e8f119cb6416c7217761f1080a96a0d4,3191.67,2022-08-04,09:26:39,3159.6,2022-08-04,09:38:29,2,3159.6,3191.67,0,0,0,,,
PIIND,NSE,80,,,,buy,cash,be313b0bf4e6775d703f9e43b9efd3bc,3087.44,2022-09-22,12:14:58,3102.5,2022-09-22,12:48:47,4,3087.44,3102.5,0,0,0,,,
MINDTREE,NSE,66,,,,buy,cash,85b44a53eeea7c08fc26adb077d0a36f,2878.9,2022-05-24,11:25:24,2896.0,2022-05-24,12:11:20,2,2878.9,2896.0,0,0,0,,,
SHREECEM,NSE,20,,,,sell,cash,2dfda86a3ee8ee5198043a2c033a158d,21700.0,2022-05-27,09:07:52,21944.36,2022-05-27,15:20:51,2,21944.36,21700.0,0,0,0,,,
SHREECEM,NSE,1,,,,sell,cash,46235643c28e68bcedec32d7928575ee,25158.0,2022-09-09,11:47:59,25214.95,2022-09-09,11:51:30,2,25214.95,25158.0,0,0,0,,,
SHREECEM,NSE,2,,,,sell,cash,2e5a2d91715df1cb4bad0f67d33f06af,25250.0,2022-09-09,11:51:30,25004.68,2022-09-09,13:20:13,4,25004.68,25250.0,0,0,0,,,
TORNTPHARM,NSE,80,,,,sell,cash,3ae625be7da422ef799fab41029961ba,2915.0,2022-05-27,09:07:52,2947.25,2022-05-27,15:20:52,2,2947.25,2915.0,0,0,0,,,
TORNTPHARM,NSE,180,,,,sell,cash,64c6ffd69a4de2f8205c6639aef34d3b,1573.7,2022-08-17,09:15:38,1567.58,2022-08-17,09:35:40,3,1567.58,1573.7,0,0,0,,,
TORNTPHARM,NSE,165,,,,sell,cash,17e7e162f2fef5372ad2e3c87e856deb,1548.9,2022-09-30,09:07:08,1558.95,2022-09-30,09:30:48,2,1558.95,1548.9,0,0,0,,,
INDIAMART,NSE,40,,,,sell,cash,4d1744be44eb7a26d21ff13b6be2394e,4568.4,2022-05-30,09:07:29,4624.45,2022-05-30,09:30:53,2,4624.45,4568.4,0,0,0,,,
INDIAMART,NSE,70,,,,sell,cash,603440e95e67bec0e88372156706866e,4324.0,2022-08-26,09:17:31,4303.0,2022-08-26,09:23:16,4,4303.0,4324.0,0,0,0,,,
INDIAMART,NSE,44,,,,sell,cash,2c2516af71a479c5909990be1b875c86,4774.0,2022-09-05,09:17:08,4735.0,2022-09-05,09:20:56,2,4735.0,4774.0,0,0,0,,,
PAGEIND,NSE,4,,,,sell,cash,5447965091b46a11f991cc05c699adff,44636.05,2022-05-30,09:07:29,45169.99,2022-05-30,15:20:54,2,45169.99,44636.05,0,0,0,,,
PAGEIND,NSE,6,,,,sell,cash,11d46a505642ae7ab593d31c0af08aec,50957.38,2022-09-01,09:20:03,51070.0,2022-09-01,10:12:36,3,51070.0,50957.38,0,0,0,,,
GRANULES,NSE,1180,,,,sell,cash,f0e513c64f9de3f917843cf3e94e828f,267.3,2022-05-30,09:15:00,271.14,2022-05-30,09:21:08,2,271.14,267.3,0,0,0,,,
GRANULES,NSE,500,,,,sell,cash,cfcd7136dc8041daa82d7b5193d0ef83,317.31,2022-08-03,09:21:15,314.4,2022-08-03,09:32:03,2,314.4,317.31,0,0,0,,,
GRANULES,NSE,1250,,,,sell,cash,f0a55e65cd70fef97d930c10eabc71d7,327.4,2022-08-18,09:07:40,324.93,2022-08-18,09:57:25,2,324.93,327.4,0,0,0,,,
GRANULES,NSE,200,,,,sell,cash,4bb4cb0b6724be7acff97a3a77baa2c3,325.75,2022-09-19,10:20:53,322.85,2022-09-19,10:27:29,3,322.85,325.75,0,0,0,,,
GRANULES,NSE,600,,,,sell,cash,8c404b1c2792a73889858f394cf50a8b,318.75,2022-09-27,13:19:55,316.19,2022-09-27,14:27:57,5,316.19,318.75,0,0,0,,,
GRANULES,NSE,249,,,,sell,cash,9fc0553460507412685703dff2d71566,334.84,2022-09-30,09:32:43,332.64,2022-09-30,09:35:03,5,332.64,334.84,0,0,0,,,
GRANULES,NSE,750,,,,sell,cash,c19e2ae3b59681bae978a28331e219c9,335.68,2022-09-30,09:37:48,334.54,2022-09-30,10:44:26,14,334.54,335.68,0,0,0,,,
GRANULES,NSE,1050,,,,sell,cash,fc9aa110b3ea18faa9b50345f928bc41,340.28,2022-09-30,11:10:39,342.69,2022-09-30,12:31:19,12,342.69,340.28,0,0,0,,,
GRANULES,BSE,500,,,,sell,cash,ca09d380ada428480ba3c3901d981a73,354.53,2022-10-03,09:18:57,353.19,2022-10-03,09:30:28,8,353.19,354.53,0,0,0,,,
GRANULES,BSE,200,,,,sell,cash,a2b80537ee407186b2fe939ddcc178fd,353.68,2022-10-03,09:32:16,351.77,2022-10-03,09:39:37,4,351.77,353.68,0,0,0,,,
GRANULES,BSE,650,,,,sell,cash,7b72edec4d584afc83d1e0da7fba43d7,354.38,2022-10-03,10:22:23,358.14,2022-10-03,10:45:04,6,358.14,354.38,0,0,0,,,
GRANULES,NSE,400,,,,sell,cash,8da6afc01cff3dbe2549766e13a7f7c3,357.06,2022-10-03,10:46:32,353.8,2022-10-03,12:41:38,6,353.8,357.06,0,0,0,,,
GRANULES,NSE,150,,,,sell,cash,935a0eaed24954cae90cd7330ba34e0a,350.85,2022-10-21,09:07:27,348.17,2022-10-21,10:34:01,2,348.17,350.85,0,0,0,,,
CROMPTON,NSE,454,,,,sell,cash,5be8e443ffff84cf1556826ffa00bebc,353.4,2022-05-31,09:07:05,355.25,2022-05-31,09:32:42,2,355.25,353.4,0,0,0,,,
CROMPTON,NSE,30,,,,sell,cash,fa5925ceda31f04797d2fa448c95600d,411.7,2022-08-25,10:33:19,408.5,2022-08-25,10:37:06,2,408.5,411.7,0,0,0,,,
CROMPTON,NSE,30,,,,buy,cash,163afdbc1f4a262508321f7a36ad0b5b,409.87,2022-08-25,10:38:38,409.9,2022-08-25,10:38:55,2,409.87,409.9,0,0,0,,,
CROMPTON,NSE,130,,,,sell,cash,3e0e3fd34e9df61f6ec311e535bb3c50,412.15,2022-08-25,12:39:44,409.5,2022-08-25,13:25:19,3,409.5,412.15,0,0,0,,,
INTELLECT,NSE,550,,,,sell,cash,ae0936194b747a695dcd322af216bcdf,676.0,2022-05-31,09:07:05,672.83,2022-05-31,09:21:07,2,672.83,676.0,0,0,0,,,
INTELLECT,NSE,650,,,,sell,cash,af4ba0faff94701d22052a1e599212e6,669.98,2022-05-31,09:22:44,676.6,2022-05-31,09:45:33,4,676.6,669.98,0,0,0,,,
BALKRISIND,NSE,240,,,,sell,cash,2443428d7312829bd7d0485181d1d5e0,2339.17,2022-06-01,09:07:15,2353.6,2022-06-01,12:17:19,3,2353.6,2339.17,0,0,0,,,
BALKRISIND,NSE,140,,,,sell,cash,e3c63b89eadbf1b7e69df1d19f1f5d22,2440.0,2022-08-03,09:07:20,2439.0,2022-08-03,09:19:29,2,2439.0,2440.0,0,0,0,,,
MRF,NSE,1,,,,buy,cash,e0df97d0668fb29d7c93ddff8618a1b5,77050.0,2022-06-01,09:51:10,76800.0,2022-06-01,09:57:34,2,77050.0,76800.0,0,0,0,,,
MRF,NSE,4,,,,sell,cash,65405e203ce8c35454ebd190a0972b47,89368.3,2022-10-31,09:07:19,90112.0,2022-10-31,09:24:27,2,90112.0,89368.3,0,0,0,,,
ASTRAL,NSE,125,,,,sell,cash,479b0c879832a744a39e9734cb21ecfb,1814.06,2022-06-01,13:10:43,1799.83,2022-06-01,13:59:10,3,1799.83,1814.06,0,0,0,,,
ASTRAL,NSE,120,,,,sell,cash,b22517c346994752d17a9afc495e3e02,1980.4,2022-08-05,09:07:55,1963.52,2022-08-05,10:30:31,3,1963.52,1980.4,0,0,0,,,
ASTRAL,NSE,155,,,,sell,cash,0d84981367af9a52de5e1d81473c9b6a,2456.1,2022-09-08,09:07:58,2473.0,2022-09-08,09:17:37,2,2473.0,2456.1,0,0,0,,,
ASTRAL,NSE,70,,,,buy,cash,b62a8d655b2489aef713a38071bf0c51,2407.0,2022-09-14,09:20:46,2427.0,2022-09-14,09:27:22,2,2407.0,2427.0,0,0,0,,,
ASTRAL,NSE,135,,,,sell,cash,8852677876b8fee24a3c28e14c076da8,2505.45,2022-09-16,09:07:49,2485.0,2022-09-16,09:35:18,2,2485.0,2505.45,0,0,0,,,
MFSL,NSE,250,,,,sell,cash,61075aec1b0a75368b9bfa61afc19d32,820.0,2022-06-01,13:13:19,811.45,2022-06-01,13:33:41,2,811.45,820.0,0,0,0,,,
ABBOTINDIA,NSE,20,,,,sell,cash,802715f4ee7e745056f14d01123c4ff4,18499.0,2022-06-03,09:07:34,18400.0,2022-06-03,09:35:50,3,18400.0,18499.0,0,0,0,,,
ABBOTINDIA,NSE,23,,,,sell,cash,ab04cd62c185d2966272894db1be5f17,18923.91,2022-06-30,09:22:01,18802.39,2022-06-30,10:43:50,2,18802.39,18923.91,0,0,0,,,
ABBOTINDIA,NSE,7,,,,sell,cash,a736955a6876a1948e3698f013817e65,18015.43,2022-09-28,09:21:50,18162.5,2022-09-28,09:30:52,2,18162.5,18015.43,0,0,0,,,
ABBOTINDIA,NSE,12,,,,sell,cash,1f1b604b774452f528dde21a2496a075,18661.77,2022-09-29,11:21:36,18900.0,2022-09-29,12:46:39,6,18900.0,18661.77,0,0,0,,,
ABBOTINDIA,NSE,15,,,,sell,cash,cc5b127eaca4851653b38fd81f26b6a3,18986.67,2022-09-29,13:00:52,19100.0,2022-09-29,14:46:02,3,19100.0,18986.67,0,0,0,,,
ABBOTINDIA,NSE,26,,,,sell,cash,8b15ed2f2f1e2a548e23d1e947c4770f,19181.1,2022-09-30,09:21:00,18923.81,2022-09-30,09:30:37,2,18923.81,19181.1,0,0,0,,,
METROPOLIS,NSE,85,,,,sell,cash,ff4630f4088b287043cbe9a57d9649d1,1654.45,2022-06-06,09:07:30,1686.0,2022-06-06,09:18:52,2,1686.0,1654.45,0,0,0,,,
METROPOLIS,NSE,90,,,,sell,cash,76254db77e58bdfa04a72dc99f56275d,1770.0,2022-11-02,09:07:38,1768.89,2022-11-02,09:17:17,2,1768.89,1770.0,0,0,0,,,
ONGC,NSE,1000,,,,sell,cash,7efbb9cdcaa6c9aaab9ed4da6989ab9d,163.5,2022-06-08,09:07:19,164.7,2022-06-08,13:29:14,2,164.7,163.5,0,0,0,,,
ONGC,NSE,350,,,,sell,cash,28b9e46591febfc227f3b7c5b5608e55,131.69,2022-09-30,10:02:50,130.91,2022-09-30,10:56:42,8,130.91,131.69,0,0,0,,,
DALBHARAT,NSE,333,,,,sell,cash,08c44aeb4bd54a118b104b8282f9a39d,1272.0,2022-06-09,09:29:59,1279.0,2022-06-09,09:43:22,2,1279.0,1272.0,0,0,0,,,
DALBHARAT,NSE,10,,,,sell,cash,b05c819136eff95a6b1263bbb9d0dc5a,1634.05,2022-09-08,12:00:01,1634.9,2022-09-08,12:02:47,2,1634.9,1634.05,0,0,0,,,
DALBHARAT,NSE,300,,,,sell,cash,241225f995839481d2768a1b088ac3a6,1654.0,2022-09-09,09:07:03,1666.98,2022-09-09,09:24:38,2,1666.98,1654.0,0,0,0,,,
DALBHARAT,NSE,15,,,,buy,cash,0c69085972df3c4c8926dab7c881efb8,1749.9,2022-09-14,12:34:05,1753.67,2022-09-14,13:14:05,4,1749.9,1753.67,0,0,0,,,
BAJAJ-AUTO,NSE,125,,,,sell,cash,2170b7aa09d96da9807f8c40c988f637,3800.8,2022-06-24,09:07:05,3830.0,2022-06-24,09:35:14,2,3830.0,3800.8,0,0,0,,,
BAJAJ-AUTO,NSE,65,,,,sell,cash,e5487fd2a7783b7c0f631781595f6f89,3632.66,2022-10-12,11:43:17,3617.7,2022-10-12,13:49:44,5,3617.7,3632.66,0,0,0,,,
MCX,NSE,100,,,,sell,cash,9c0cbce6931e4d61f4305dd5d488fd5e,1314.02,2022-07-01,09:29:14,1298.62,2022-07-01,10:05:34,2,1298.62,1314.02,0,0,0,,,
MCX,NSE,380,,,,sell,cash,711133aed4a9d240d47ba3051003c8cc,1319.01,2022-08-12,09:16:17,1313.0,2022-08-12,09:28:59,2,1313.0,1319.01,0,0,0,,,
BOSCHLTD,NSE,40,,,,sell,cash,fb8b7427f79c9db49ca7fe125a7ead44,15686.3,2022-07-04,09:15:18,15714.25,2022-07-04,09:21:14,2,15714.25,15686.3,0,0,0,,,
BOSCHLTD,NSE,15,,,,buy,cash,fd4be7bd6f1746fdf739e2661d9423b7,17582.0,2022-08-02,09:15:59,17739.0,2022-08-02,09:24:17,2,17582.0,17739.0,0,0,0,,,
MANAPPURAM,NSE,625,,,,buy,cash,c0ce540a222bd79269dbec0e5e93d14e,91.15,2022-07-04,10:49:33,90.45,2022-07-04,12:15:49,2,91.15,90.45,0,0,0,,,
SIEMENS,NSE,130,,,,sell,cash,e622a1f1444cbbca8bdb31eeed467768,2655.0,2022-07-07,09:07:21,2643.35,2022-07-07,09:49:00,2,2643.35,2655.0,0,0,0,,,
