,symbol,trade_date,exchange,segment,trade_type,quantity,price,order_id,order_execution_time,strike_price,expiry_date,options_type,assets_type
0,OBEROIRLTY,2022-02-02,NSE,EQ,sell,100.0,970.0,1200000001245669,2022-02-02T09:22:28,,,,cash
1,OBEROIRLTY,2022-02-02,NSE,EQ,buy,100.0,962.0,1200000002063301,2022-02-02T09:33:26,,,,cash
2,COROMANDEL,2022-02-04,NSE,EQ,sell,120.0,824.3,1000000000045849,2022-02-04T09:15:20,,,,cash
3,COROMANDEL,2022-02-04,NSE,EQ,sell,30.0,825.5,1000000000484475,2022-02-04T09:16:57,,,,cash
4,COROMANDEL,2022-02-04,NSE,EQ,buy,150.0,830.8,1000000000926753,2022-02-04T09:20:46,,,,cash
5,HINDCOPPER,2022-02-10,NSE,EQ,buy,250.0,143.45,1100000014179568,2022-02-10T13:38:40,,,,cash
6,HINDCOPPER,2022-02-10,NSE,EQ,buy,50.0,143.45,1100000014201454,2022-02-10T13:39:48,,,,cash
7,HINDCOPPER,2022-02-10,NSE,EQ,sell,300.0,142.3,1100000014251779,2022-02-10T14:40:13,,,,cash
8,ONGC,2022-02-11,NSE,EQ,sell,650.0,169.9,1200000000762411,2022-02-11T09:19:09,,,,cash
9,ONGC,2022-02-11,NSE,EQ,buy,200.0,168.75,1200000004891457,2022-02-11T09:58:51,,,,cash
10,ONGC,2022-02-11,NSE,EQ,buy,450.0,168.15,1200000006464350,2022-02-11T10:16:47,,,,cash
11,ABBOTINDIA,2022-02-17,NSE,EQ,sell,3.0,17010.0,1000000000042986,2022-02-17T09:15:02,,,,cash
12,ABBOTINDIA,2022-02-17,NSE,EQ,sell,1.0,17100.0,1000000000245015,2022-02-17T09:16:14,,,,cash
13,ABBOTINDIA,2022-02-17,NSE,EQ,sell,1.0,17033.0,1000000000446648,2022-02-17T09:17:54,,,,cash
14,ABBOTINDIA,2022-02-17,NSE,EQ,buy,5.0,16800.0,1000000002395799,2022-02-17T09:35:05,,,,cash
15,TATAMOTORS,2022-03-02,BSE,EQ,buy,15.0,447.85,1646202554713870666,2022-03-02T15:17:22,,,,cash
16,GAIL,2022-03-03,NSE,EQ,sell,360.0,154.75,1100000000052660,2022-03-03T09:07:03,,,,cash
17,GAIL,2022-03-03,NSE,EQ,sell,200.0,154.7,1100000003535468,2022-03-03T09:42:35,,,,cash
18,GAIL,2022-03-03,NSE,EQ,sell,40.0,154.65,1100000004379115,2022-03-03T09:51:36,,,,cash
19,GAIL,2022-03-03,NSE,EQ,buy,600.0,155.75,1100000006855501,2022-03-03T10:30:35,,,,cash
20,GAIL,2022-03-04,BSE,EQ,sell,50.0,159.0,1646364600088003337,2022-03-04T09:18:45,,,,cash
21,GAIL,2022-03-04,NSE,EQ,sell,500.0,159.1,1100000000056896,2022-03-04T09:18:51,,,,cash
22,POWERGRID,2022-03-04,BSE,EQ,sell,40.0,216.25,1646366027644136384,2022-03-04T09:27:00,,,,cash
23,GAIL,2022-03-04,NSE,EQ,buy,100.0,156.5,1100000001671842,2022-03-04T10:01:53,,,,cash
24,GAIL,2022-03-04,NSE,EQ,buy,400.0,157.3,1100000009985670,2022-03-04T10:56:18,,,,cash
25,GAIL,2022-03-08,NSE,EQ,sell,800.0,161.65,1100000000023542,2022-03-08T09:07:58,,,,cash
26,GAIL,2022-03-08,NSE,EQ,sell,200.0,162.4,1100000000471610,2022-03-08T09:16:26,,,,cash
27,GAIL,2022-03-08,NSE,EQ,buy,1000.0,159.75,1100000002343289,2022-03-08T09:29:42,,,,cash
28,INTELLECT,2022-03-09,NSE,EQ,sell,100.0,712.7,1100000000142983,2022-03-09T09:07:42,,,,cash
29,NTPC,2022-03-09,NSE,EQ,sell,800.0,133.8,1200000000141144,2022-03-09T09:17:23,,,,cash
30,INTELLECT,2022-03-09,NSE,EQ,sell,50.0,713.05,1100000001206459,2022-03-09T09:20:52,,,,cash
31,NTPC,2022-03-09,NSE,EQ,sell,300.0,133.35,1200000001841140,2022-03-09T09:29:28,,,,cash
32,INTELLECT,2022-03-09,NSE,EQ,buy,1.0,720.0,1100000004035045,2022-03-09T09:58:59,,,,cash
33,INTELLECT,2022-03-09,NSE,EQ,buy,149.0,722.55,1100000005601417,2022-03-09T10:09:24,,,,cash
34,NTPC,2022-03-09,NSE,EQ,buy,1100.0,132.7,1200000005184975,2022-03-09T10:18:23,,,,cash
35,BALRAMCHIN,2022-03-10,NSE,EQ,sell,283.0,451.0,1000000000118520,2022-03-10T09:07:43,,,,cash
36,JKCEMENT,2022-03-10,NSE,EQ,sell,66.0,2345.0,1200000000043425,2022-03-10T09:07:43,,,,cash
37,BALRAMCHIN,2022-03-10,NSE,EQ,buy,283.0,444.8,1000000001733171,2022-03-10T09:24:36,,,,cash
38,JKCEMENT,2022-03-10,NSE,EQ,buy,66.0,2400.0,1200000002534349,2022-03-10T09:36:16,,,,cash
39,JKCEMENT,2022-03-10,NSE,EQ,buy,1.0,2322.0,1200000002131597,2022-03-10T14:16:17,,,,cash
40,JKCEMENT,2022-03-10,NSE,EQ,sell,1.0,2325.85,1200000019600372,2022-03-10T14:17:03,,,,cash
41,IOC,2022-03-11,NSE,EQ,sell,1200.0,121.0,1100000000055077,2022-03-11T09:15:00,,,,cash
42,IOC,2022-03-11,NSE,EQ,sell,500.0,121.05,1100000000688306,2022-03-11T09:17:59,,,,cash
43,IOC,2022-03-11,NSE,EQ,sell,200.0,121.4,1100000001134218,2022-03-11T09:21:34,,,,cash
44,IOC,2022-03-11,NSE,EQ,sell,200.0,121.4,1100000001587051,2022-03-11T09:25:08,,,,cash
45,IOC,2022-03-11,NSE,EQ,sell,48.0,121.65,1100000009926450,2022-03-11T11:25:24,,,,cash
46,IOC,2022-03-11,NSE,EQ,buy,48.0,121.7,1100000009947187,2022-03-11T11:26:13,,,,cash
47,IOC,2022-03-11,NSE,EQ,buy,1.0,121.8,1100000008559938,2022-03-11T11:28:20,,,,cash
48,IOC,2022-03-11,NSE,EQ,buy,1.0,122.75,1100000013833218,2022-03-11T14:36:59,,,,cash
49,IOC,2022-03-11,NSE,EQ,buy,200.0,123.05,1100000019334087,2022-03-11T14:42:04,,,,cash
50,IOC,2022-03-11,NSE,EQ,buy,1898.0,123.15,1100000019362205,2022-03-11T14:42:37,,,,cash
51,GRANULES,2022-03-14,NSE,EQ,sell,400.0,310.2,1100000000062971,2022-03-14T09:07:29,,,,cash
52,LAURUSLABS,2022-03-14,NSE,EQ,sell,190.0,583.65,1200000000117452,2022-03-14T09:07:29,,,,cash
53,GRANULES,2022-03-14,NSE,EQ,buy,1.0,306.45,1100000000755407,2022-03-14T09:25:36,,,,cash
54,GRANULES,2022-03-14,NSE,EQ,buy,199.0,306.5,1100000002331688,2022-03-14T09:31:11,,,,cash
55,LAURUSLABS,2022-03-14,NSE,EQ,buy,190.0,588.75,1200000002590043,2022-03-14T09:42:10,,,,cash
56,GRANULES,2022-03-14,NSE,EQ,buy,200.0,303.7,1100000009367987,2022-03-14T11:14:03,,,,cash
57,CUMMINSIND,2022-03-15,NSE,EQ,sell,170.0,1035.0,1000000000526649,2022-03-15T09:17:50,,,,cash
58,CUMMINSIND,2022-03-15,NSE,EQ,sell,20.0,1037.1,1000000000802200,2022-03-15T09:19:31,,,,cash
59,CUMMINSIND,2022-03-15,NSE,EQ,buy,190.0,1050.0,1000000002357203,2022-03-15T09:32:47,,,,cash
60,SRF,2022-03-16,NSE,EQ,sell,70.0,2477.3,1300000000024564,2022-03-16T09:07:53,,,,cash
61,SRF,2022-03-16,NSE,EQ,sell,20.0,2477.3,1300000000024878,2022-03-16T09:07:53,,,,cash
62,SRF,2022-03-16,NSE,EQ,buy,90.0,2442.0,1300000000945163,2022-03-16T09:19:46,,,,cash
63,VOLTAS,2022-03-16,NSE,EQ,sell,100.0,1282.05,1300000009444293,2022-03-16T11:33:11,,,,cash
64,VOLTAS,2022-03-16,NSE,EQ,buy,100.0,1288.1,1300000009470576,2022-03-16T11:56:45,,,,cash
65,HAL,2022-03-17,NSE,EQ,sell,80.0,1486.0,1100000000051688,2022-03-17T09:07:59,,,,cash
66,VOLTAS,2022-03-17,NSE,EQ,sell,80.0,1303.0,1300000000096452,2022-03-17T09:07:59,,,,cash
67,VOLTAS,2022-03-17,NSE,EQ,buy,80.0,1315.0,1300000002375060,2022-03-17T09:31:46,,,,cash
68,HAL,2022-03-17,NSE,EQ,buy,80.0,1464.0,1100000001699868,2022-03-17T11:19:53,,,,cash
69,RPOWER,2022-03-17,NSE,EQ,sell,931.0,14.2,1300000011310181,2022-03-17T14:05:46,,,,cash
70,COROMANDEL,2022-03-21,NSE,EQ,sell,200.0,853.0,1000000000040084,2022-03-21T09:07:30,,,,cash
71,TRENT,2022-03-21,NSE,EQ,sell,50.0,1282.0,1300000000053894,2022-03-21T09:07:30,,,,cash
72,TRENT,2022-03-21,NSE,EQ,sell,50.0,1282.0,1300000000054400,2022-03-21T09:07:30,,,,cash
73,TRENT,2022-03-21,NSE,EQ,buy,100.0,1262.5,1300000000924865,2022-03-21T09:18:41,,,,cash
74,COROMANDEL,2022-03-21,NSE,EQ,sell,50.0,857.0,1000000001908685,2022-03-21T09:28:25,,,,cash
75,COROMANDEL,2022-03-21,NSE,EQ,buy,250.0,850.6,1000000002234333,2022-03-21T09:33:10,,,,cash
76,CUMMINSIND,2022-03-22,NSE,EQ,sell,110.0,1059.3,1000000000025668,2022-03-22T09:07:12,,,,cash
77,INTELLECT,2022-03-22,NSE,EQ,sell,160.0,808.1,1100000000025306,2022-03-22T09:15:00,,,,cash
