symbol,trade_date,exchange,segment,trade_type,quantity,price,order_id,order_execution_time,strike_price,expiry_date,options_type,assets_type,entry_date,entry_time,exit_date,exit_time,breakeven_point,avg_buy_price,avg_sell_price,net_pnl,status,roi
OBEROIRLTY,2022-02-02,NSE,EQ,sell,200.0,962.0,1200000002063301,09:33:26,,,,cash,2022-02-02,09:22:28,2022-02-02,09:33:26,2,962.0,970.0,-1600.0,1,-0.0082
OBEROIRLTY,2022-04-12,NSE,EQ,sell,280.0,990.8,1200000001277424,09:22:33,,,,cash,2022-04-12,09:07:35,2022-04-12,09:22:33,3,990.8207142857142,1003.5,-3550.2,1,-0.0126
OBEROIRLTY,2022-09-13,NSE,EQ,sell,500.0,1066.55,1200000000783438,09:33:06,,,,cash,2022-09-13,09:07:45,2022-09-13,09:33:06,2,1066.55,1063.3,1625.0,0,0.0031
OBEROIRLTY,2022-09-13,NSE,EQ,buy,500.0,1053.15,1200000020470215,15:20:57,,,,cash,2022-09-13,15:02:59,2022-09-13,15:20:57,2,1053.45,1053.15,150.0,0,-0.0003
OBEROIRLTY,2022-10-11,NSE,EQ,sell,300.0,905.25,1200000009375935,11:26:54,,,,cash,2022-10-11,11:21:13,2022-10-11,11:26:54,2,905.25,902.15,930.0,0,0.0034
OBEROIRLTY,2022-10-11,NSE,EQ,sell,300.0,910.0,1200000010106358,11:57:23,,,,cash,2022-10-11,11:36:18,2022-10-11,11:57:23,2,910.0,905.2,1440.0,0,0.0053
COROMANDEL,2022-02-04,NSE,EQ,sell,300.0,830.8,1000000000926753,09:20:46,,,,cash,2022-02-04,09:15:20,2022-02-04,09:20:46,3,830.8,824.54,1878.0,0,0.0076
COROMANDEL,2022-03-21,NSE,EQ,sell,500.0,850.6,1000000002234333,09:33:10,,,,cash,2022-03-21,09:07:30,2022-03-21,09:33:10,3,850.6,853.8,-1600.0,1,-0.0037
COROMANDEL,2022-05-12,NSE,EQ,sell,760.0,883.5,1000000005540213,10:08:45,,,,cash,2022-05-12,09:07:36,2022-05-12,10:08:45,2,883.5,901.25,-13490.0,1,-0.0197
COROMANDEL,2022-05-18,NSE,EQ,sell,900.0,933.55,1000000005287046,10:18:10,,,,cash,2022-05-18,09:19:29,2022-05-18,10:18:10,5,942.2186666666668,952.4944444444444,-9248.2,1,-0.0108
