symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
OBEROIRLTY,INE093I01010,2022-02-02,NSE,EQ,EQ,sell,false,1.000000,970.000000,50316971,1200000001245669,2022-02-02T09:22:28
OBEROIRLTY,INE093I01010,2022-02-02,NSE,EQ,EQ,sell,false,30.000000,970.000000,50317390,1200000001245669,2022-02-02T09:22:29
OBEROIRLTY,INE093I01010,2022-02-02,NSE,EQ,EQ,sell,false,51.000000,970.000000,50319801,1200000001245669,2022-02-02T09:22:34
OBEROIRLTY,INE093I01010,2022-02-02,NSE,EQ,EQ,sell,false,2.000000,970.000000,50320012,1200000001245669,2022-02-02T09:22:35
OBEROIRLTY,INE093I01010,2022-02-02,NSE,EQ,EQ,sell,false,10.000000,970.000000,50320113,1200000001245669,2022-02-02T09:22:35
OBEROIRLTY,INE093I01010,2022-02-02,NSE,EQ,EQ,sell,false,6.000000,970.000000,50320372,1200000001245669,2022-02-02T09:22:36
OBEROIRLTY,INE093I01010,2022-02-02,NSE,EQ,EQ,buy,false,100.000000,962.000000,50578448,1200000002063301,2022-02-02T09:33:26
COROMANDEL,INE169A01031,2022-02-04,NSE,EQ,EQ,sell,false,120.000000,824.300000,43943,1000000000045849,2022-02-04T09:15:20
COROMANDEL,INE169A01031,2022-02-04,NSE,EQ,EQ,sell,false,5.000000,825.500000,131925,1000000000484475,2022-02-04T09:16:57
COROMANDEL,INE169A01031,2022-02-04,NSE,EQ,EQ,sell,false,22.000000,825.500000,159449,1000000000484475,2022-02-04T09:17:40
COROMANDEL,INE169A01031,2022-02-04,NSE,EQ,EQ,sell,false,3.000000,825.500000,159621,1000000000484475,2022-02-04T09:17:41
COROMANDEL,INE169A01031,2022-02-04,NSE,EQ,EQ,buy,false,47.000000,830.800000,258493,1000000000926753,2022-02-04T09:20:46
COROMANDEL,INE169A01031,2022-02-04,NSE,EQ,EQ,buy,false,7.000000,830.800000,258561,1000000000926753,2022-02-04T09:20:46
COROMANDEL,INE169A01031,2022-02-04,NSE,EQ,EQ,buy,false,50.000000,830.800000,264011,1000000000926753,2022-02-04T09:20:58
COROMANDEL,INE169A01031,2022-02-04,NSE,EQ,EQ,buy,false,46.000000,830.800000,264508,1000000000926753,2022-02-04T09:20:59
HINDCOPPER,INE531E01026,2022-02-10,NSE,EQ,EQ,buy,false,250.000000,143.450000,28903660,1100000014179568,2022-02-10T13:38:40
HINDCOPPER,INE531E01026,2022-02-10,NSE,EQ,EQ,buy,false,50.000000,143.450000,28921149,1100000014201454,2022-02-10T13:39:48
HINDCOPPER,INE531E01026,2022-02-10,NSE,EQ,EQ,sell,false,87.000000,142.300000,29773550,1100000014251779,2022-02-10T14:40:13
HINDCOPPER,INE531E01026,2022-02-10,NSE,EQ,EQ,sell,false,25.000000,142.350000,29773549,1100000014251779,2022-02-10T14:40:13
HINDCOPPER,INE531E01026,2022-02-10,NSE,EQ,EQ,sell,false,15.000000,142.350000,29773548,1100000014251779,2022-02-10T14:40:13
HINDCOPPER,INE531E01026,2022-02-10,NSE,EQ,EQ,sell,false,40.000000,142.350000,29773547,1100000014251779,2022-02-10T14:40:13
HINDCOPPER,INE531E01026,2022-02-10,NSE,EQ,EQ,sell,false,133.000000,142.350000,29773546,1100000014251779,2022-02-10T14:40:13
ONGC,INE213A01029,2022-02-11,NSE,EQ,EQ,sell,false,116.000000,169.900000,50233380,1200000000762411,2022-02-11T09:19:09
ONGC,INE213A01029,2022-02-11,NSE,EQ,EQ,sell,false,10.000000,169.900000,50233386,1200000000762411,2022-02-11T09:19:09
ONGC,INE213A01029,2022-02-11,NSE,EQ,EQ,sell,false,524.000000,169.900000,50233822,1200000000762411,2022-02-11T09:19:10
ONGC,INE213A01029,2022-02-11,NSE,EQ,EQ,buy,false,200.000000,168.750000,51152018,1200000004891457,2022-02-11T09:58:51
ONGC,INE213A01029,2022-02-11,NSE,EQ,EQ,buy,false,450.000000,168.150000,51451756,1200000006464350,2022-02-11T10:16:47
ABBOTINDIA,INE358A01014,2022-02-17,NSE,EQ,EQ,sell,false,2.000000,17010.000000,16280,1000000000042986,2022-02-17T09:15:02
ABBOTINDIA,INE358A01014,2022-02-17,NSE,EQ,EQ,sell,false,1.000000,17010.000000,23898,1000000000042986,2022-02-17T09:15:07
ABBOTINDIA,INE358A01014,2022-02-17,NSE,EQ,EQ,sell,false,1.000000,17100.000000,84024,1000000000245015,2022-02-17T09:16:14
ABBOTINDIA,INE358A01014,2022-02-17,NSE,EQ,EQ,sell,false,1.000000,17033.000000,139890,1000000000446648,2022-02-17T09:17:54
ABBOTINDIA,INE358A01014,2022-02-17,NSE,EQ,EQ,buy,false,5.000000,16800.000000,526116,1000000002395799,2022-02-17T09:35:05
TATAMOTORS,INE155A01022,2022-03-02,BSE,EQ,A,buy,false,15.000000,447.850000,315495300,1646202554713870666,2022-03-02T15:17:22
GAIL,INE129A01019,2022-03-03,NSE,EQ,EQ,sell,false,360.000000,154.750000,25011043,1100000000052660,2022-03-03T09:07:03
GAIL,INE129A01019,2022-03-03,NSE,EQ,EQ,sell,false,2.000000,154.700000,25959486,1100000003535468,2022-03-03T09:42:35
GAIL,INE129A01019,2022-03-03,NSE,EQ,EQ,sell,false,53.000000,154.700000,25959487,1100000003535468,2022-03-03T09:42:35
GAIL,INE129A01019,2022-03-03,NSE,EQ,EQ,sell,false,145.000000,154.700000,25959485,1100000003535468,2022-03-03T09:42:35
GAIL,INE129A01019,2022-03-03,NSE,EQ,EQ,sell,false,1.000000,154.650000,26161146,1100000004379115,2022-03-03T09:51:36
GAIL,INE129A01019,2022-03-03,NSE,EQ,EQ,sell,false,1.000000,154.650000,26161145,1100000004379115,2022-03-03T09:51:36
GAIL,INE129A01019,2022-03-03,NSE,EQ,EQ,sell,false,1.000000,154.650000,26161142,1100000004379115,2022-03-03T09:51:36
GAIL,INE129A01019,2022-03-03,NSE,EQ,EQ,sell,false,1.000000,154.650000,26161143,1100000004379115,2022-03-03T09:51:36
GAIL,INE129A01019,2022-03-03,NSE,EQ,EQ,sell,false,34.000000,154.650000,26161148,1100000004379115,2022-03-03T09:51:36
GAIL,INE129A01019,2022-03-03,NSE,EQ,EQ,sell,false,1.000000,154.650000,26161144,1100000004379115,2022-03-03T09:51:36
GAIL,INE129A01019,2022-03-03,NSE,EQ,EQ,sell,false,1.000000,154.650000,26161147,1100000004379115,2022-03-03T09:51:36
GAIL,INE129A01019,2022-03-03,NSE,EQ,EQ,buy,false,25.000000,155.750000,26818432,1100000006855501,2022-03-03T10:30:35
GAIL,INE129A01019,2022-03-03,NSE,EQ,EQ,buy,false,15.000000,155.750000,26818433,1100000006855501,2022-03-03T10:30:35
GAIL,INE129A01019,2022-03-03,NSE,EQ,EQ,buy,false,100.000000,155.750000,26818431,1100000006855501,2022-03-03T10:30:35
GAIL,INE129A01019,2022-03-03,NSE,EQ,EQ,buy,false,460.000000,155.750000,26818434,1100000006855501,2022-03-03T10:30:35
